Id,SalePrice
1461,117590.86381135514
1462,144731.716734322
1463,176412.46298410321
1464,169990.95418799715
1465,190737.04776312053
1466,171815.175107355
1467,160691.0526949167
1468,160426.21089061204
1469,177196.6593947144
1470,117580.31456145963
1471,192789.6334312033
1472,90293.64940799876
1473,92708.20879539553
1474,141712.35607865604
1475,123971.5315629617
1476,343211.2596207328
1477,253229.05966561343
1478,302968.8519760642
1479,298378.8158516509
1480,454725.3804260882
1481,304064.76268732233
1482,203993.34007705015
1483,162723.3667690212
1484,156363.32501576992
1485,165325.28721237686
1486,194794.10119859612
1487,329820.9045466522
1488,251038.63277760742
1489,183627.41092838734
1490,176943.43199448253
1491,193774.42827191312
1492,94407.51990462517
1493,168832.31151015076
1494,287048.6637090659
1495,283548.2723949826
1496,223335.95469233504
1497,177995.86394574682
1498,148681.22302521305
1499,147138.82133923838
1500,138736.40143206215
1501,159169.9698877748
1502,142231.2358917615
1503,258778.8570520474
1504,227380.4462695464
1505,216325.13972454463
1506,166632.81702847383
1507,202100.79686022748
1508,187622.98921936308
1509,154880.85673804666
1510,141996.05430050407
1511,142314.6305121418
1512,153471.43189758263
1513,149862.37336202874
1514,163108.4466396433
1515,183469.3755834037
1516,154230.0303938196
1517,140467.00622203576
1518,130609.91400664688
1519,220743.70257989518
1520,131803.96143430457
1521,136538.17932021414
1522,160663.7149421253
1523,106249.59441290046
1524,120959.22342143046
1525,120658.37869795374
1526,123363.70690054
1527,112101.84501980641
1528,124919.37072767413
1529,133338.86086462892
1530,154048.48627153423
1531,128048.66481785527
1532,104515.10033259881
1533,129208.75464279934
1534,108744.25325134085
1535,155690.51768070145
1536,123926.76201405277
1537,82739.05766155735
1538,187318.54621696682
1539,260539.4518100685
1540,112295.09125927875
1541,143872.1075960499
1542,142913.060396443
1543,210225.8159623401
1544,88840.14328104051
1545,97993.88702142752
1546,116104.10501046106
1547,122791.06956908843
1548,118266.48669394985
1549,107827.27357215808
1550,143278.36388357976
1551,115781.63774833364
1552,126811.41549333223
1553,130318.23873666592
1554,108532.0802579961
1555,174083.04505061076
1556,83533.3658773813
1557,107899.0567697868
1558,95484.55128085687
1559,100459.47671964028
1560,152424.09566091138
1561,130905.86128777056
1562,119556.01877463356
1563,107878.68083320993
1564,141566.37433735648
1565,132493.3630835844
1566,217542.980787366
1567,84029.64228349316
1568,215615.6908407069
1569,138186.43875778696
1570,123679.4659250328
1571,130910.44544670358
1572,136308.00340568466
1573,228181.11477303965
1574,102593.75696699815
